date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Oct 9, 2014",-,Russia,1186,Torpedo Moscow ,112541,50 Th. €,Andrey Lunev,14/15,,515,Unattached 
"Jun 30, 2014",End of loan,Russia,28098,FK Kaluga ,112541,50 Th. €,Andrey Lunev,13/14,Russia,1186,Torpedo Moscow 
"Jul 1, 2013",Loan,Russia,1186,Torpedo Moscow ,112541,50 Th. €,Andrey Lunev,13/14,Russia,28098,FK Kaluga 
"Jun 30, 2012",End of loan,Russia,13204,Istra ,112541,25 Th. €,Andrey Lunev,11/12,Russia,1186,Torpedo Moscow 
"Jan 1, 2012",Loan,Russia,1186,Torpedo Moscow ,112541,25 Th. €,Andrey Lunev,11/12,Russia,13204,Istra 
"Jan 1, 2009",-,Russia,13065,Torpedo Moskau II ,112541,-,Andrey Lunev,08/09,Russia,1186,Torpedo Moscow 
"Jan 1, 2008",-,Russia,16048,Torpedo U19 ,112541,-,Andrey Lunev,07/08,Russia,13065,Torpedo Moskau II 
"Feb 6, 2016",Free transfer,Russia,2700,Anzhi ,113235,700 Th. €,Georgi Zotov,15/16,Russia,2439,Kuban Krasnodar 
"Jul 1, 2014",?,Ukraine,2783,Metalurg D. ,113235,400 Th. €,Georgi Zotov,14/15,Russia,2700,Anzhi 
"Aug 30, 2013",?,Russia,6672,Salyut Belgorod ,113235,150 Th. €,Georgi Zotov,13/14,Ukraine,2783,Metalurg D. 
"Jul 1, 2013",Free transfer,Russia,3715,Metall-Kuzbass ,113235,150 Th. €,Georgi Zotov,13/14,Russia,6672,Salyut Belgorod 
"Feb 18, 2013",?,Russia,21507,Lokomotiv 2 ,113235,50 Th. €,Georgi Zotov,12/13,Russia,3715,Metall-Kuzbass 
"Jan 1, 2009",-,Russia,14301,Spartak Moscow U19 ,113235,-,Georgi Zotov,08/09,Russia,21507,Lokomotiv 2 
"Jul 3, 2014",?,Russia,1186,Torpedo Moscow ,117925,500 Th. €,Evgeni Konyukhov,14/15,Russia,2696,KS Samara 
"Jul 1, 2013",Free transfer,Russia,12054,Tyumen ,117925,250 Th. €,Evgeni Konyukhov,13/14,Russia,1186,Torpedo Moscow 
"Sep 6, 2012",Free transfer,Russia,10688,FC Sibir ,117925,250 Th. €,Evgeni Konyukhov,12/13,Russia,12054,Tyumen 
"Jan 1, 2012",?,Russia,16594,FK Novgorod ,117925,400 Th. €,Evgeni Konyukhov,11/12,Russia,10688,FC Sibir 
"Apr 1, 2010",?,Russia,12065,Torpedo Vl. ,117925,-,Evgeni Konyukhov,09/10,Russia,16594,FK Novgorod 
"Jan 1, 2008",?,Russia,75,Unknown ,117925,-,Evgeni Konyukhov,07/08,,12065,Torpedo Vl. 
"Jul 6, 2015",250 Th. €,Poland,7153,Zawisza ,118044,600 Th. €,Ivan Maevskiy,15/16,Russia,2700,Anzhi 
"Jan 13, 2015",Free transfer,Belarus,23664,FK Minsk ,118044,300 Th. €,Ivan Maevskiy,14/15,Poland,7153,Zawisza 
"Jan 27, 2012",Free transfer,Belarus,10640,Partizan Minsk ,118044,250 Th. €,Ivan Maevskiy,11/12,Belarus,23664,FK Minsk 
"Mar 10, 2009",?,Belarus,32981,Vertikal ,118044,-,Ivan Maevskiy,08/09,Belarus,10640,MTZ-Ripo Minsk 
"Aug 31, 2015",Free transfer,Macedonia,4641,Rabotnicki ,136167,200 Th. €,Chuma Anene,15/16,Russia,4128,Amkar Perm 
"Jul 1, 2014",?,Norway,9987,Ullensaker/Kisa ,136167,100 Th. €,Chuma Anene,14/15,Macedonia,4641,Rabotnicki 
"Feb 12, 2014",Free transfer,Norway,76,Valerenga ,136167,100 Th. €,Chuma Anene,13/14,Norway,9987,Ullensaker/Kisa 
"Nov 30, 2013",End of loan,Norway,1274,Stabaek IF ,136167,100 Th. €,Chuma Anene,13/14,Norway,76,Valerenga 
"Aug 8, 2013",Loan,Norway,76,Valerenga ,136167,100 Th. €,Chuma Anene,13/14,Norway,1274,Stabaek IF 
"Jul 31, 2012",End of loan,Norway,9987,Ullensaker/Kisa ,136167,100 Th. €,Chuma Anene,12/13,Norway,76,Valerenga 
"Jun 19, 2012",Loan,Norway,76,Valerenga ,136167,75 Th. €,Chuma Anene,11/12,Norway,9987,Ullensaker/Kisa 
"Jan 1, 2012",-,Norway,15700,Valerenga U19 ,136167,-,Chuma Anene,11/12,Norway,76,Valerenga 
